,subject matter expert,financial,calculate,expert,analytical,excel,accurate,consolidation,compliance,j-sox,audit,deadlines
0,1232,0,,1247,1445,3307,,672,688,1581,1130,872
1,2850,631,,2865,3395,3746,,768,1587,1757,1185,3486
2,,650,,,,,,935,2404,,1310,
3,,990,,,,,,1646,,,1346,
4,,1613,,,,,,,,,1832,
5,,1865,,,,,,,,,1875,
6,,2355,,,,,,,,,,
7,,2381,,,,,,,,,,
8,,3243,,,,,,,,,,
